,global,global,global,all_minimizations,all_minimizations,all_minimizations,all_minimizations,only_complete_minimization,only_complete_minimization,only_complete_minimization,only_complete_minimization,no_absorbed_removal,no_absorbed_removal,no_absorbed_removal,no_absorbed_removal,ascending_heuristic,ascending_heuristic,ascending_heuristic,ascending_heuristic,descending_heuristic,descending_heuristic,descending_heuristic,descending_heuristic,lace_1_thread,lace_1_thread,lace_1_thread,lace_1_thread,lace_7_threads,lace_7_threads,lace_7_threads,lace_7_threads
,size,vars,aux_vars,duration,end_size,max_size,end_vars,duration,end_size,max_size,end_vars,duration,end_size,max_size,end_vars,duration,end_size,max_size,end_vars,duration,end_size,max_size,end_vars,duration,end_size,max_size,end_vars,duration,end_size,max_size,end_vars
dataset/random/uf250-1065/uf250-032.dc.min,1643,670,420,2008274,170,2114,246,1288866,103,1643,246,12180509.0,287.0,188377.0,246.0,2205940,199,1984,246,16656337,367,2003,246,1031098,170,2114,246,2004202,170,2114,246
dataset/random/uf250-1065/uf250-034.dc.min,410,321,71,88815,17,410,237,47803,20,410,237,91894.0,20.0,410.0,237.0,49781,19,410,237,64022,20,410,237,21196,17,410,237,129515,17,410,237
dataset/random/uf250-1065/uf250-036.dc.min,554,376,126,182666,58,554,242,192832,58,554,242,184697.0,58.0,554.0,242.0,99133,58,554,242,335493,48,554,242,70618,58,554,242,208711,58,554,242
dataset/random/uf250-1065/uf250-038.dc.min,1000,494,244,508794,335,1000,250,907013,158,1000,250,583220.0,4426.0,10765.0,250.0,1708743,441,1022,250,1587048,258,1249,250,348073,335,1000,250,781521,335,1000,250
dataset/random/uf250-1065/uf250-040.dc.min,5941,1878,1628,939815828,1565,8824,250,1104664057,795,6435,250,3933074720.0,368895748.0,368895748.0,485.0,266637086,982,8639,250,3600019951,22171,22171,1192,956950575,1565,8824,250,950486564,1565,8824,250
dataset/random/uf250-1065/uf250-041.dc.min,3153,1148,898,21315677,517,4521,250,22080099,407,3301,250,3816335552.0,739614491.0,739614491.0,317.0,20736853,617,4513,250,3600050918,86086,86086,592,22088461,517,4521,250,23662470,517,4521,250
dataset/random/uf250-1065/uf250-042.dc.min,35295,9018,8768,3600573061,30290,52896,3268,3600387542,26399,38800,2041,3620766083.0,63682171.0,63682171.0,3703.0,3600035477,85046,85046,8968,3600566812,49611,52523,8936,3600623663,31737,52896,3268,3601001608,34942,52896,3268
dataset/random/uf250-1065/uf250-043.dc.min,447,344,94,119738,36,447,243,77890,36,447,243,73584.0,36.0,447.0,243.0,116669,36,447,243,126571,31,447,243,37860,36,447,243,118863,36,447,243
dataset/random/uf250-1065/uf250-045.dc.min,755,434,184,239957,261,755,249,356426,116,755,249,372364.0,2140.0,2140.0,249.0,394407,253,755,249,429300,160,822,249,111397,261,755,249,411929,261,755,249
dataset/random/uf250-1065/uf250-046.dc.min,3065,951,701,13409230,1221,4517,250,18034559,858,3299,250,183117992.0,3486738.0,14639212.0,250.0,243492019,1135,4482,250,410016853,1273,4503,250,11986572,1221,4517,250,16668449,1221,4517,250
dataset/random/uf250-1065/uf250-047.dc.min,14254,4049,3799,3600308958,19379,23480,509,3600300440,18667,18667,528,3616205495.0,441450062.0,441450062.0,1271.0,3600015158,48655,48655,3613,3600028087,50701,50701,3985,3600316879,18106,23480,509,3600355056,20431,23480,509
dataset/random/uf250-1065/uf250-048.dc.min,11914,3475,3225,3600050215,33790,33790,447,3600251878,16785,16785,425,3665039063.0,351274214.0,351274214.0,1093.0,2561628183,1525,16753,250,3600018967,42364,42364,2861,3600052075,33790,33790,447,3600050102,33790,33790,447
